Component,Manufacturer Part Number,Manufacturer1 Part Number,References,Quantity Per PCB,Part,Value,Footprint,SMD,Mounted,Part Description,Pin Count,Part Number,Val
26,MB210S-TP,,D6 D7,2,MB6S-Diode_Bridge-AMC_FMC_Carrier-PcbDoc-rescue,MB210S-TP,SOIC254P665X290-4N,,,,,,
27,PRTR5V0U2X,,D13,1,PRTR5V0U2X-Diodes,PRTR5V0U2X,SOT190P230X110-4N,Yes,Yes,Ultra Low Capacitance (1pF) Double Rail-to-Rail ESD Protection Diode (8kV),4,PRTR5V0U2X,
28,SMAJ58A,,D8,1,1.5KExxA-Diode-AMC_FMC_Carrier-PcbDoc-rescue,SMAJ58A,DIOM5226X262N,,,,,,
29,SS16,,D1 D4 D12,3,SS16-Diodes,SS16,DIOM5127X229N,Yes,Yes,Surface Mount Schottky Barrier Rectifier,2,SS16,
30,SF-0603F050-2,~~,F1 F2,2,FUS0603_BOURNS-SF-0603F050-2,FUS0603_BOURNS-SF-0603F050-2,FUSC1608X55N,Yes,Yes,Thin Film Chip Fuse,2,FUS0603_BOURNS-SF-0603F050-2,500mA-50V
31,10029449-111RLF,,J15,1,SAMTEC_MHDMR-19-02-H-TH-L-TR-SAMTEC-AMC_FMC_Carrier-PcbDoc-rescue,10029449-111RLF,HDMI_TH,Yes,Yes,"19 Contacts, Pitch 0.4mm, Right Angle, Mini  HDMI High Speed I/O Receptacle",20,10029449-111RLF,
32,10103594-0001LF,,J10,1,HIROSE_ZX62RD-AB-5P8-Miscellaneous-AMC_FMC_Carrier-PcbDoc-rescue,10103594-0001LF,USB_Micro-B_Amphenol_10103594-0001LF_Horizontal,Yes,Yes,"Micro-USB 2.0 Right Angle, SMD Type AB - Reverse (Top mount), Shell Through Hole",7,10103594-0001LF,
33,1888247-1,,J6,1,TYCO_1888247-1,1888247-1:TE_1888247-1,TE_1888247-1,Yes,Yes,"20 Position, Pitch 0.8mm SFP+ Receptacle (Small Form-factor Pluggable)",20,TYCO_1888247-1,
34,2057-PH1-04-UA-ND,,J9,1,Conn_01x04_Male-Connector-AMC_FMC_Carrier-PcbDoc-rescue,2057-PH1-04-UA-ND,SAMTEC_MTLW-104-07-L-S-250,,,,,,
35,0826-1X1T-80-F,,J4,1,BELFUSE_0826-1X1T-HS-F-Miscellaneous,BELFUSE_0826-1X1T-HS-F,BELFUSE_0826-1X1T-80-F,No,Yes,"1 Port, Orange Green/Yellow LEDs, RJ45 1000BaseT, PoE, Gigabit MagJack® Connector Module",20,BELFUSE_0826-1X1T-HS-F,
36,FC68148 (DC-10A),,J1,1,CLIFF_FC68148(DC-10A),CLIFF_FC68148(DC-10A),CLIFF_FC68148(DC-10A),No,Yes,"12V/5A, 2.1mm Diameter Pin, DC Power Socket With  Switch (DC10A Type)",3,CLIFF_FC68148(DC-10A),
37,GRPB052VWQP-RC,,J14,1,Conn_ARM_JTAG_SWD_10-Connector-AMC_FMC_Carrier-PcbDoc-rescue,GRPB052VWQP-RC,PinHeader_2x05_P1.27mm_Vertical_SMD,,,,,,
38,U.FL-R-SMT-1(10),,J2 J5,2,HIROSE_U.FL-R-SMT-1(10),HIROSE_U.FL-R-SMT-1(10),U.FL_Hirose_U.FL-R-SMT-1_Vertical,Yes,Yes,Up to 6GHz Ultra Small Surface Mount Male Coaxial Connectors U.FL Series,2,HIROSE_U.FL-R-SMT-1(10),
39,87831-1420,,J11,1,MOLEX_87831-1420-MOLEX-AMC_FMC_Carrier-PcbDoc-rescue,MOLEX_87831-1420,MOLEX_87831-1420,No,Yes,"2.00mm (.079"") Pitch Milli-Grid™ Header, Vertical, Shrouded, Center Polarization Slot, Locking Window, 14 Circuits",14,MOLEX_87831-1420,
40,PPTC062LJBN-RC,,J12 J13 J16,3,Conn_02x06_Odd_Even,PPTC062LJBN-RC,SDL-112-X-XX_2x06,,,,,,
41,1888247-1,,J3 J7 J8,3,TYCO_1888247-1,TYCO_1888247-1,TE_1888247-1,Yes,Yes,"20 Position, Pitch 0.8mm SFP+ Receptacle (Small Form-factor Pluggable)",20,TYCO_1888247-1,
42,MPZ2012S102A,,L35 L36 L37 L38 L39 L40,6,L-Device-AMC_FMC_Carrier-PcbDoc-rescue,1k@100MHz,INDC2012X145N,,,,,,
43,BLM18SG121TN1D,,L1 L2 L3 L4 L5 L6 L7 L8 L9 L10 L11 L12 L15 L16 L24 L25 L26 L27 L28 L33 L34 L41 L42,23,IND0603_MURATA_BLM18SG121TN1D,IND0603_MURATA_BLM18SG121TN1D,INDC1608X65N,Yes,Yes,SMD EMIFIL Suppression Chip Ferrite Bead,2.0000000000000000e+00,IND0603_MURATA_BLM18SG121TN1D,120R@100MHz
44,BLM41PG600SN1L,,L14 L21 L22 L31 L32,5,IND1806_MURATA_BLM41PG600SN1L,IND1806_MURATA_BLM41PG600SN1L,INDC4516X180N,Yes,Yes,SMD EMI Suppression Chip Ferrite Bead (BLM41P Series),2.0000000000000000e+00,IND1806_MURATA_BLM41PG600SN1L,60R@100MHz
45,VLCF5020T-100M1R1-1,,L13,1,IND_10UH_20%_TDK_VLCF5020-1,IND_10UH_20%_TDK_VLCF5020-1,IND_TDK_VLCF5020-1,Yes,Yes,"SMD Inductor for Power Circuits (Wound/STD , Magnetic Shielded), VLCF series",2.0000000000000000e+00,IND_10UH_20%_TDK_VLCF5020-1,10uH
46,SRP6540-2R2M,,L17 L18 L19 L20,4,IND_2.2UH_20%_BOURNS_SRP6540,IND_2.2UH_20%_BOURNS_SRP6540,IND_BOURNS_SRP6540,Yes,Yes,Shielded SMD Power Inductor,2.0000000000000000e+00,IND_2.2UH_20%_BOURNS_SRP6540,2.2uH
47,74479276222C,,L23,1,IND_2.2UH_20%_WURTH_WE-PMCI_74479276222C,IND_2.2UH_20%_WURTH_WE-PMCI_74479276222C,IND_WURTH_WE-PMCI_0806LR,Yes,Yes,SMD Power Molded Chip  Inductor (WE-PMCI Series),2.0000000000000000e+00,IND_2.2UH_20%_WURTH_WE-PMCI_74479276222C,2.2uH
48,HSMC-C120,,LD11 LD12 LD13 LD14,4,LED_AVAGO_HSMC-C120,LED_AVAGO_HSMC-C120,LED_AVAGO_HSMC-C120,Yes,Yes,High Performance Right Angle Chip Red LED,2,LED_AVAGO_HSMC-C120,
49,KPH-1608CGCK,,LD1 LD2 LD3 LD4 LD5 LD6 LD7 LD8 LD9 LD10 LD15,11,LED_KINGBRIGHT_KPH-1608CGCK,LED_KINGBRIGHT_KPH-1608CGCK,LED_KINGBRIGHT_KPH-1608CGCK,Yes,Yes,"SMD Green LED, Case 1.6mmX0.8mm(0603), 0.65mm Thickness",2,LED_KINGBRIGHT_KPH-1608CGCK,
50,SWR25X-NRTC-S03-ST-BA,,M1 M2,2,Fan_3pin-Motor-AMC_FMC_Carrier-PcbDoc-rescue,Fan_3pin,Fan_Pin_Header_Straight_1x03,,,,,,
51,ASP-134603-01,,P1 P2,2,SAMTEC_ASP-134603-01,SAMTEC_ASP-134603-01,SAMTEC_ASP-134603-01,Yes,Yes,"160 contacts (4 rows cdgh) Surface Mount Female Connector, VITA 57 (CC-LPC-10)",160,SAMTEC_ASP-134603-01,
52,FSM2JSMA or  2-1437565-7,~~,PB1,1,PB_TYCO_FSM2JSMA-Switches-AMC_FMC_Carrier-PcbDoc-rescue,PB_TYCO_FSM2JSMA,PB_TYCO_FSM2JSMA,Yes,Yes,12VDC 50mA SPST Tactile  Push-Button Switch,4,PB_TYCO_FSM2JSMA,
53,BC847BV,,Q26 Q27,2,BC847BV,BC847BV,SOTFL50P160X60-6N,Yes,Yes,45V 100mA NPN General Purpose Double Transistor,6,BC847BV,
54,"BC857BV,115",,Q1 Q15 Q22,3,BC857BV,BC857BV,SOTFL50P160X60-6N,Yes,Yes,-45V -100mA PNP General Purpose Double Transistor,6,BC857BV,
55,BSS138LT1G,,Q8 Q9,2,BSS138LT1G,BSS138LT1G,SOT95P240X110-3N,Yes,Yes,50V 200mA N-Channel Enhancement Mode Field-Effect Transistor,3,BSS138LT1G,
