Component,Manufacturer Part Number,Manufacturer1 Part Number,References,Quantity Per PCB,Part,Value,Footprint,SMD,Mounted,Part Description,Pin Count,Part Number,Val
74,R0402_49R9_1%_0.0625W_100PPM,232270674999L or RC0402FR-0749R9L,R141 R164 R206 R207 R208 R211 R219 R226,8,R0402_49R9_1%_0.0625W_100PPM,R0402_49R9_1%_0.0625W_100PPM,RESC1005X40N,Yes,Yes,General Purpose Thick Film Chip Resistor,2,R0402_49R9_1%_0.0625W_100PPM,49R9
75,R0402_4K7_1%_0.0625W_100PPM,232270674702L,R282,1,R0402_4K7_1%_0.0625W_100PPM,R0402_4K7_1%_0.0625W_100PPM,RESC1005X40N,Yes,Yes,General Purpose Thick Film Chip Resistor,2,R0402_4K7_1%_0.0625W_100PPM,4k7
76,R0402_51R_1%_0.0625W_100PPM,232270675109L,R1 R2 R3,3,R0402_51R_1%_0.0625W_100PPM,R0402_51R_1%_0.0625W_100PPM,RESC1005X40N,Yes,Yes,General Purpose Thick Film Chip Resistor,2,R0402_51R_1%_0.0625W_100PPM,51
77,R0402_5K1_1%_0.0625W_100PPM,232270675102L,R24 R25 R26,3,R0402_5K1_1%_0.0625W_100PPM,R0402_5K1_1%_0.0625W_100PPM,RESC1005X40N,Yes,Yes,General Purpose Thick Film Chip Resistor,2,R0402_5K1_1%_0.0625W_100PPM,5k1
78,R0402_82K_1%_0.0625W_100PPM,232270678203L,R108 R110 R212 R269,4,R0402_82K_1%_0.0625W_100PPM,R0402_82K_1%_0.0625W_100PPM,RESC1005X40N,Yes,Yes,General Purpose Thick Film Chip Resistor,2,R0402_82K_1%_0.0625W_100PPM,82k
79,R0603_4K99_1%_0.063W_50PPM,CPF0603F4K99C1,R62 R64 R66,3,R0603_4K99_1%_0.063W_50PPM,R0603_4K99_1%_0.063W_50PPM,RESC1608X55N,Yes,Yes,General Purpose Thick Film Chip Resistor,2,R0603_4K99_1%_0.063W_50PPM,4k99
80,CSR1206FK20L0,~~,R182 R183,2,R1206_0R02_1%_0.5W_100PPM,R1206_0R02_1%_0.5W_100PPM,RESC3216X80N,Yes,Yes,Low Value Flat Chip Resistor,2,R1206_0R02_1%_0.5W_100PPM,0R02
81,RL1206FR-7W0R47  (35051914707),~~,R111,1,R1206_0R47_1%_0.5W_600PPM,R1206_0R47_1%_0.5W_600PPM,RESC3216X65N,Yes,Yes,Low Ohmique High Power Chip Resistor,2,R1206_0R47_1%_0.5W_600PPM,0R47
82,R1206_1M_1%_0.25W_100PPM,NRC12F1004TRF,R243 R244,2,R1206_1M_1%_0.25W_100PPM,R1206_1M_1%_0.25W_100PPM,RESC3216X65N,Yes,Yes,General Purpose Thick Film Chip Resistor,2,R1206_1M_1%_0.25W_100PPM,1M
83,HDT0001,,S1,1,HDT0001-HDT0001,HDT0001,HDT0001,,,,,,
84,KSS241GLFS,,SW3,1,SW_Push,KSS241GLFS,KSS241GLFS,,,,,,
85,SKHHLQA010,,SW2,1,SW_Push,SKHHLQA010,PB_ALPS_SKHHLQA010,,,,,,
86,A6SN-1101,,SW1,1,SW_DIP_x01-Switch-AMC_FMC_Carrier-PcbDoc-rescue,SW_DIP_x01,SW_OMRON_A6SN-1101,,,,,,
87,88E1512-XX-NNP2I000,,U4,1,88E1512-XX-NNP2I000,88E1512-XX-NNP2I000,QFN50P800X800X100-57N-S437,Yes,Yes,Alaska Integrated 10/100/1000 Mbps Energy Efficient Ethernet Transceiver,57,88E1512-XX-NNP2I000,
88,AD5662BRMZ-1,,U16 U19,2,AD5662BRMZ-1,AD5662BRMZ-1,SOP65P490X110-8N,Yes,Yes,"2.7V to 5.5V, 250uA, Rail-to-Rail Output 16-Bit nanoDAC",8,AD5662BRMZ-1,
89,AG5300,,U40,1,AG5300-AG5300-AMC_FMC_Carrier-PcbDoc-rescue,AG5300,AG5300,,,,,,
90,CDCM61004RHBT,,U20,1,CDCM61004RHBT,CDCM61004RHBT,QFN50P500X500X100-33N-S355,Yes,Yes,"Four Output, Integrated VCO, Low-Jitter Clock Generator",33,CDCM61004RHBT,
91,FOD817DSD,,U41,1,FOD817DSD,FOD817DSD,FAIRCHILD_FOD817DSD,Yes,Yes,4-Pin High Operating Temperature Phototransistor Optocoupler,4,FOD817DSD,
92,FT4232H-56Q,,U23,1,FT4232H-56Q,FT4232H-56Q,QFN50P800X800X100-57N-S620,Yes,Yes,Quad High Speed USB to Multipurpose UART/MPSSE IC,57,FT4232H-56Q,
